## Last Updated: 2023-01-25 05:01:56 CST
"No.","Name","ID","Age","State","Nation","Rating","Rating.new","(+/-)","Regular","tDate","tName"
"1","Daggupati, Balaji","14499403","17","CA","USA",2580,2580,"","2559 => 2580","2022-09-05202209055832","HOLLYWOOD CHESS NORM 1000 GM-IM 2022 (CA)1: GM GROUP"
"2","Wang, Justin","14930904","17","TX","USA",2566,2578,"(+12)","2566 => 2578","2022-12-23202212234562","2022 SPICE CUP (MO)1: OPEN"
"4","Shlyakhtenko, Robert","14951916","17","CA","USA",2493,2501,"(+8)","2494 => 2501","2023-01-16202301164022","NEW YORK WINTER INVITATIONALS (NY)1: GM A"
"3","He, Anthony Bi","14729222","17","WA","USA",2498,2498,"","2498 => 2498","2022-09-30202209308322","PNWCC_FRIDAY_USCF_G_25_D5_OTB_IN_MI (WA)1: 3___PNWCC_G25_D5___OPEN"
"5","Lu, Maximillian","14732597","17","CT","USA",2476,2476,"","2476 => 2476","2023-01-07202301079922","2023 CONNECTICUT SCHOLASTIC CHAMPIONSHIPS (CT)1: HIGH SCHOOL (9-12)"
"6","Tsay, Vincent","15297685","17","NY","USA",2424,2456,"(+32)","2424 => 2456","2023-01-16202301164022","NEW YORK WINTER INVITATIONALS (NY)2: GM B"
"7","Huston, Gus","14921551","17","NY","USA",2371,2387,"(+16)","2369 => 2387","2023-01-16202301164022","NEW YORK WINTER INVITATIONALS (NY)3: IM C"
"8","Maiti, Milind","14442276","17","CA","USA",2345,2345,"","2353 => 2345","2022-07-29202207297142","HOLLYWOOD CHESS NORM CLASSIC 2 (CA)2: IM NORM"
"=16","Ladan, Nicholas","15092641","17","IL","USA",2264,2341,"(+77)","2291 => 2341","2023-01-16202301163842","2023 CHARLOTTE OPEN (NC)1: CHAMPIONSHIP"
"9","Rorrer, Grayson","16027820","17","TX","USA",2339,2336,"(-3)","2339 => 2336","2023-01-16202301164022","NEW YORK WINTER INVITATIONALS (NY)3: IM C"
"10","Eidelman, Gabriel","14949655","17","CA","USA",2325,2326,"(+1)","2339 => 2326","2022-12-19202212193142","1000 GM LA FUNDRAISER (CA)1: ROUND ROBIN ESK"
"11","Kolay, Alex","15470820","17","CA","USA",2319,2319,"","2328 => 2319","2022-09-26202209266242","MARK DIESEN FIDE OPEN (IL)1: NORM INVITATIONAL"
"15","Lee, Linden Marcus","16059633","17","MN","USA",2276,2308,"(+32)","2301 => 2308","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
"12","Sriniaiyer, Sudarshan","14943697","17","VA","USA",2300,2299,"(-1)","2290 => 2299","2023-01-16202301163842","2023 CHARLOTTE OPEN (NC)1: CHAMPIONSHIP"
"=16","Mei, Austin R","16090452","17","CA","USA",2264,2297,"(+33)","2272 => 2297","2023-01-22202301227832","BAY AREA SCHEVENINGEN CHALLENGERS (CA)1: MASTERS 1"
