## Last Updated: 2023-01-25 05:01:11 CST
"No.","Name","ID","Age","State","Nation","Rating","Rating.new","(+/-)","Regular","tDate","tName"
"1","Hong, Andrew","14941904","18","CA","USA",2616,2616,"","2618 => 2616","2022-08-07202208071492","122ND ANNUAL U. S. OPEN - 2022 (CA)1: US OPEN"
"3","Vivekananthan, Anish","14709825","18","TX","USA",2435,2445,"(+10)","2435 => 2445","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
"2","Kumar, Nikhil","14982402","18","FL","USA",2442,2442,"","2411 => 2442","2021-08-23202108231112","FIRST SATURDAY GM AUGUST 2021 (HUN)1: FIRST SATURDAY GM AUGUST 2021"
"5","Shen, Christopher","14432243","18","OH","USA",2417,2423,"(+6)","2417 => 2423","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
"4","Turgut, Aydin","14284734","18","IN","USA",2423,2413,"(-10)","2423 => 2413","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
"6","Poliannikov, Danila","14969622","18","MA","USA",2399,2410,"(+11)","2399 => 2410","2023-01-08202301080112","11TH ANNUAL BOSTON CHESS CONGRESS! (MA)1: PREMIER SECTION!"
"7","Wang, Wesley","14256600","18","NY","USA",2397,2409,"(+12)","2397 => 2409","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
"9","Hakobyan, Eduard","17328367","18","CA","USA",2390,2390,"","2389 => 2390","2022-08-07202208071492","122ND ANNUAL U. S. OPEN - 2022 (CA)1: US OPEN"
"10","Peng, Shunkai","16553543","18","OR","USA",2385,2385,"","2386 => 2385","2021-10-03202110038902","SPFNO 2021 (WA)6: OPEN K-12"
"=7","Narayanan, Samrug","14653287","18","MN","USA",2397,2379,"(-18)","2391 => 2379","2023-01-16202301164022","NEW YORK WINTER INVITATIONALS (NY)3: IM C"
"11","Venkat, Raghav","14668233","18","FL","USA",2360,2362,"(+2)","2360 => 2362","2023-01-08202301080382","8TH ANNUAL GULF COAST NEW YEAR'S OPEN (FL)1: PREMIER"
"13","Amburgy, Ryan","15437654","18","OK","USA",2327,2360,"(+33)","2325 => 2360","2023-01-22202301227722","ROBERT BYRNE MEMORIAL (IL)2: IM NORM"
"12","Huang, Andy","14633373","18","VA","USA",2334,2334,"","2351 => 2334","2020-11-01202011017562","2020 U.S. CLASS CHESS CHAMPIONSHIPS (VA)1: MASTER"
"14","Samadashvili, Martha","14920851","18","NY","USA",2326,2326,"","2340 => 2326","2021-07-25202107253002","2021 U.S. GIRLS' JUNIOR CHAMPIONSHIP (MO)1: ROUND ROBIN"
"18","Tahmassebi, Bijan","14989940","18","MD","USA",2303,2315,"(+12)","2305 => 2315","2023-01-16202301164192","55TH ANNUAL LIBERTY BELL OPEN! (PA)1: MAJOR SECTION"
"15","Jin, Ashton","15752021","18","MN","USA",2308,2309,"(+1)","2308 => 2309","2022-12-30202212306492","32ND ANNUAL NORTH AMERICAN OPEN (NV)1: OPEN"
"16","Cao, Elton","14619034","18","OH","USA",2306,2306,"","2307 => 2306","2020-03-08202003083182","2020 MOTCF (OH)1: OPEN"
"=16","Mishra, Prateek","14900397","18","GA","USA",2306,2306,"","2314 => 2306","2022-11-27202211271922","2022 US MASTERS (NC)1: MASTERS"
"20","Girsh, Daniel","14833734","18","PA","USA",2275,2299,"(+24)","2297 => 2299","2023-01-16202301164192","55TH ANNUAL LIBERTY BELL OPEN! (PA)1: MAJOR SECTION"
"19","Grabinsky, Joshua","14729181","18","OR","USA",2296,2296,"","2315 => 2296","2021-06-20202106200392","2021 NATIONAL OPEN (NV)1: OPEN"
"21","Metpally, Jason","14442338","18","TX","USA",2273,2273,"","2278 => 2273","2021-08-13202108139332","FRIDAY SWISS 08132021 (TX)1: OPEN SECTION 08132021"
"23","Moor, Nathaniel Philip","15012516","18","CT","USA",2254,2271,"(+17)","2265 => 2271","2023-01-07202301079922","2023 CONNECTICUT SCHOLASTIC CHAMPIONSHIPS (CT)1: HIGH SCHOOL (9-12)"
"22","Wang, Alex","14839996","18","PA","USA",2262,2262,"","2263 => 2262","2021-06-27202106272532","15TH PHILADELPHIA OPEN (PA)1: MAJOR"
"29","Espinosa, Pedro Roberto","14987738","18","NY","USA",2229,2258,"(+29)","2229 => 2258","2022-12-23202212234562","2022 SPICE CUP (MO)1: OPEN"
"25","Somalwar, Anaiy","14391572","18","CA","USA",2252,2252,"","2240 => 2252","2021-07-05202107055352","2021 BEST OF THE WEST CHAMPIONSHIP (BAC 1858) (CA)1: OPEN - MERGED"
"27","Prabhu, Naveen","14949284","18","NC","USA",2232,2245,"(+13)","2232 => 2245","2023-01-16202301163842","2023 CHARLOTTE OPEN (NC)1: CHAMPIONSHIP"
"24","Liang, Justin Sun","14602165","18","MI","USA",2253,2244,"(-9)","2253 => 2244","2022-12-30202212306492","32ND ANNUAL NORTH AMERICAN OPEN (NV)1: OPEN"
"26","Tan, Ralph","15223857","18","OH","USA",2250,2244,"(-6)","2250 => 2244","2023-01-14202301142532","INAUGURAL EAST SIDE CHESS TOURNAMEN (OH)1: OPEN"
"30","Zhurbinsky, David","14215292","18","NJ","USA",2228,2233,"(+5)","2222 => 2233","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)2: U1800"
"36","Romero, Michael D","16744105","18","PA","USA",2205,2232,"(+27)","2211 => 2232","2023-01-21202301216792","230121 LEHIGH VALLEY SAT SUPER QUAD (PA)1: QUAD 01"
"28","Sivakumar, Shaashwath","15089302","18","CA","USA",2231,2231,"","2221 => 2231","2022-12-19202212193142","1000 GM LA FUNDRAISER (CA)1: ROUND ROBIN ESK"
"31","Lee, Jason Alexander","14831455","18","TN","USA",2227,2227,"","2223 => 2227","2021-03-13202103130472","FARRAGUT 13 MARCH (TN)1: OPEN"
"33","Wang, Brandon","14760736","18","NY","USA",2216,2216,"","2177 => 2216","2022-07-31202207317732","52ND ANNUAL CONTINENTAL OPEN (MA)2: UNDER 2200"
"32","Mcconnell, Griffin Thomas","14692997","18","CO","USA",2217,2210,"(-7)","2217 => 2210","2022-12-27202212275552","DCC DECEMBER TUESDAYS 2022 (CO)1: PREMIER (1700+ OR UNRATED)"
"35","Heesters, Pieter Stanley","14258612","18","MD","USA",2210,2210,"","2206 => 2210","2022-07-17202207172072","67TH MARYLAND OPEN (MD)1: CHAMPIONSHIP"
"34","Zhu, Evelyn","14587517","18","NY","USA",2213,2209,"(-4)","2213 => 2209","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
"37","Ramanathan, Suraj","14361257","18","MA","USA",2204,2201,"(-3)","2204 => 2201","2023-01-08202301080112","11TH ANNUAL BOSTON CHESS CONGRESS! (MA)1: PREMIER SECTION!"
"38","Cheng, Daniel","15276322","18","CA","USA",2201,2201,"","2189 => 2201","2020-03-08202003085072","CM AZHAR MEMORIAL CHAMPIONSHIP (1803) (CA)1: OPEN"
"39","Zhang, Alan","14430870","18","NJ","USA",2187,2187,"","2200 => 2187","2022-06-12202206124762","27TH ANNUAL NORTHEAST OPEN! (CT)1: MAJOR SECTION!"
"43","Chen, Alex","14659230","18","NC","USA",2176,2184,"(+8)","2176 => 2184","2023-01-15202301153752","2023TRIANGLECHESSCHAMPIONSHIP (NC)1: OPEN"
"41","Wang, Shawn L","14701050","18","PA","USA",2178,2178,"","2187 => 2178","2022-12-11202212118182","2022 NATIONAL K-12 GRADE CHAMPIONSHIP (MD)1: 12TH GRADE CHAMPIONSHIP"
"=41","Bruha, Nicholas","15248108","18","IL","USA",2178,2178,"","2178 => 2178","2022-12-30202212306492","32ND ANNUAL NORTH AMERICAN OPEN (NV)1: OPEN"
"40","Perkins, Joaquin K","13732183","18","CA","USA",2185,2177,"(-8)","2185 => 2177","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
"47","Chen, Benjamin Lj","14811886","18","FL","USA",2164,2164,"","2158 => 2164","2021-07-25202107252282","29TH ANNUAL SOUTHERN OPEN (FL)1: MAJOR"
"44","Povinelli, Braydon","16009687","18","IN","USA",2169,2162,"(-7)","2169 => 2162","2023-01-06202301068752","4 RATED GAMES FRIDAY! (IN)1: PRO"
"48","Zeng, Sheena","14640432","18","KS","USA",2160,2160,"","2181 => 2160","2022-07-31202207317732","52ND ANNUAL CONTINENTAL OPEN (MA)2: UNDER 2200"
