## Last Updated: 2023-01-25 05:10:20 CST
"No.","Name","ID","Age","State","Nation","Rating","Rating.new","(+/-)","Regular","tDate","tName"
"1","Yip, Carissa Shiwen","14514636","19","MA","USA",2471,2453,"(-18)","2435 => 2453","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
"2","Wang, Annie","13919214","20","CA","USA",2450,2450,"","2458 => 2450","2022-11-27202211271022","3RD_BOSTON_ELITE_THANKSGIVING_OPEN_ (MA)1: 1_PREMIER__FIDE_"
"5","Lee, Alice Teresa","16059648","13","MN","USA",2379,2405,"(+26)","2398 => 2405","2023-01-16202301164022","NEW YORK WINTER INVITATIONALS (NY)4: IM D"
"3","Yu, Jennifer R","14117950","20","VA","USA",2432,2403,"(-29)","2417 => 2403","2023-01-16202301164022","NEW YORK WINTER INVITATIONALS (NY)2: GM B"
"4","Cervantes, Thalia","15470615","20","MO","USA",2388,2366,"(-22)","2360 => 2366","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
"7","Wu, Rochelle","14901590","16","CA","USA",2348,2354,"(+6)","2348 => 2354","2022-12-23202212234562","2022 SPICE CUP (MO)1: OPEN"
"6","Yan, Ruiyang","15462690","15","CA","USA",2362,2345,"(-17)","2342 => 2345","2023-01-16202301164172","14TH ANNUAL GOLDEN STATE OPEN (CA)1: MAJOR"
"8","Nguyen, Emily Quynh","13942431","20","TX","USA",2340,2328,"(-12)","2340 => 2328","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
"9","Samadashvili, Martha","14920851","18","NY","USA",2326,2326,"","2340 => 2326","2021-07-25202107253002","2021 U.S. GIRLS' JUNIOR CHAMPIONSHIP (MO)1: ROUND ROBIN"
"10","Morris-Suzuki, Sophie","15542082","20","NY","USA",2300,2294,"(-6)","2300 => 2294","2023-01-15202301153442","KQC1-15-23 (NY)1: KQC1-15-23"
"11","Tang, Zoey","16097502","14","OR","USA",2249,2236,"(-13)","2250 => 2236","2022-12-30202212306492","32ND ANNUAL NORTH AMERICAN OPEN (NV)1: OPEN"
"13","Wang, Ellen Luojia","15401090","15","NY","USA",2225,2225,"","2221 => 2225","2022-08-02202208029092","10TH ANNUAL HARING NATL TMT OF GIRLS STATE CHAMPS (CA)1: HARING"
"12","Mou, Iris","15794244","13","NY","USA",2226,2210,"(-16)","2194 => 2210","2023-01-16202301164192","55TH ANNUAL LIBERTY BELL OPEN! (PA)1: MAJOR SECTION"
"14","Zhu, Evelyn","14587517","18","NY","USA",2213,2209,"(-4)","2213 => 2209","2023-01-08202301081632","2023 PAN AMERICAN INTERCOLLEGIATE CHAMPIONSHIP (WA)1: OPEN"
"16","Liu, Kelsey","15770981","14","MA","USA",2184,2205,"(+21)","2200 => 2205","2023-01-16202301164192","55TH ANNUAL LIBERTY BELL OPEN! (PA)1: MAJOR SECTION"
"15","Prasanna, Gracy Franco","15472188","17","PA","USA",2204,2204,"","2211 => 2204","2022-08-27202208272072","220827 LEHIGH VALLEY SAT SUPER QUAD (PA)1: QUAD 01"
